exe,min,1stQ,median,mean,3rdQ,max,sdev
find_find,306.4,307.2,307.5,307.9,308.0,311.8,1.3454137
find_memchr,318.2,319.8,320.2,320.9,320.7,329.9,2.6754154
find_naive,375.9,377.1,377.5,377.4,377.7,379.8,0.87310999
find_musl,308.1,308.5,309.2,309.2,309.6,311.3,0.7806022
find_uclibc,311.8,312.5,312.8,313.3,313.5,317.3,1.5023925
