exe,min,1stQ,median,mean,3rdQ,max,sdev
find_find,69.03,69.18,69.21,69.35,69.34,70.32,0.36230948
find_memchr,50.56,50.75,50.76,50.78,50.80,50.99,0.08009205
find_naive,75.27,75.35,75.41,75.42,75.52,75.56,0.09638738
find_musl,75.92,76.01,76.05,76.07,76.12,76.23,0.08367229
find_uclibc,79.37,79.47,79.56,79.60,79.64,80.17,0.19173103
find_avx2_overflow,43.77,43.79,43.82,43.92,43.85,44.66,0.2684316
find_avx2_nozero,75.29,75.34,75.38,75.52,75.42,76.47,0.34633837
find_avx2,47.03,47.07,47.09,47.11,47.11,47.25,0.06544383
find_avx2_overflow_ext,45.49,45.52,45.55,45.57,45.61,45.74,0.07059708
find_avx2_align,46.70,46.73,46.76,46.76,46.78,46.89,0.04216509
find_avx2_align2,46.67,46.74,46.76,46.78,46.78,47.14,0.09838030
find_avx2_more,46.50,46.57,46.62,46.65,46.70,47.06,0.13144841
find_avx2_loop,48.20,48.31,48.33,48.37,48.42,48.69,0.11623366
find_diet,51.19,51.34,51.41,51.44,51.50,51.98,0.17375118
find_sse,49.21,49.36,49.52,49.50,49.60,49.85,0.16264589
find_uclibcx86,101.6,102.3,102.3,102.3,102.3,102.5,0.16776864
