exe,min,1stQ,median,mean,3rdQ,max,sdev
find_find,116.3,117.6,119.2,119.8,120.7,126.5,2.770778
find_memchr,89.31,91.16,92.80,92.92,93.94,101.22,2.877984
find_naive,170.9,173.0,174.2,174.2,175.5,178.2,2.0137511
find_musl,118.1,119.7,120.7,120.9,121.7,125.0,1.7181398
find_uclibc,118.4,119.6,120.0,121.2,122.4,127.2,2.533015
find_diet,90.95,91.45,92.55,93.02,93.58,98.61,2.1375339
find_sse,87.39,89.59,91.48,91.48,93.08,95.47,2.519176
find_uclibcx86,125.7,127.8,129.0,129.0,129.5,136.4,2.4631770
