tag,usec,cswitch,cpu_migr,page_fault,cycles,ghz,ins,ins_cyc,br,br_mis,br_mis_rate,date,rc,cmd,args
find_naive,75800994565,31,5,312,195459756924,2.57859,560857116469,2.86943,169188561983,1016261180,0.600668,2016-10-09 11:28:29,0,./find_naive,"['30000', 'in']"
find_naive,75734966855,25,3,312,195456157704,2.58079,560856621839,2.86948,169188486612,1016716679,0.600937,2016-10-09 11:29:58,0,./find_naive,"['30000', 'in']"
find_naive,75690022543,60,4,311,196168964828,2.59174,560856231615,2.85905,169188433743,1018191963,0.601809,2016-10-09 11:31:27,0,./find_naive,"['30000', 'in']"
find_naive,75617865482,283,10,311,195770844422,2.58895,560857205929,2.86487,169188604798,1025026183,0.605848,2016-10-09 11:32:56,0,./find_naive,"['30000', 'in']"
find_naive,75727113152,34,3,312,195832247489,2.58603,560856681448,2.86396,169188464356,1027119775,0.607086,2016-10-09 11:34:24,0,./find_naive,"['30000', 'in']"
find_naive,75873815841,180,19,312,196534569234,2.59028,560861562702,2.85376,169189369461,1020296629,0.60305,2016-10-09 11:35:53,0,./find_naive,"['30000', 'in']"
find_naive,75954553624,36,8,312,195952843227,2.57987,560857668904,2.86221,169188677136,1020008368,0.602882,2016-10-09 11:37:22,0,./find_naive,"['30000', 'in']"
find_naive,75543260899,66,4,312,195776602167,2.59158,560855162575,2.86477,169188277669,1018031964,0.601715,2016-10-09 11:38:51,0,./find_naive,"['30000', 'in']"
find_naive,76094749166,42,6,312,195961107008,2.57523,560858774804,2.86209,169188857105,1071885074,0.633544,2016-10-09 11:40:20,0,./find_naive,"['30000', 'in']"
find_naive,75550152241,121,9,312,195782670195,2.59143,560866119674,2.86474,169190249593,1020517174,0.603177,2016-10-09 11:41:49,0,./find_naive,"['30000', 'in']"
find_avx2_nozero,75724676988,36,7,312,195861964151,2.5865,307417897012,1.56956,62921729669,275495936,0.437839,2016-10-09 11:43:18,0,./find_avx2_nozero,"['30000', 'in']"
find_avx2_nozero,75799285723,28,5,312,195899287269,2.58445,307418126378,1.56927,62921816981,277254963,0.440634,2016-10-09 11:44:46,0,./find_avx2_nozero,"['30000', 'in']"
find_avx2_nozero,75551132473,65,3,312,195801310850,2.59164,307416141503,1.57004,62921505867,276698548,0.439752,2016-10-09 11:46:15,0,./find_avx2_nozero,"['30000', 'in']"
find_avx2_nozero,76005250034,42,4,312,197003954475,2.59198,307418415287,1.56047,62921862380,277557089,0.441114,2016-10-09 11:47:44,0,./find_avx2_nozero,"['30000', 'in']"
find_avx2_nozero,76610005390,27,7,311,195847760953,2.55643,307420133753,1.56969,62922151535,275378362,0.437649,2016-10-09 11:49:14,0,./find_avx2_nozero,"['30000', 'in']"
find_avx2_nozero,77325766418,70,4,312,200379342638,2.59137,307421703393,1.5342,62922451900,270132501,0.42931,2016-10-09 11:50:44,0,./find_avx2_nozero,"['30000', 'in']"
find_avx2_nozero,75982348612,66,8,312,196790402710,2.58995,307417965163,1.56216,62921799831,275083631,0.437183,2016-10-09 11:52:13,0,./find_avx2_nozero,"['30000', 'in']"
find_avx2_nozero,75569928972,31,5,311,195868024916,2.59188,307417223315,1.56951,62921601097,275471500,0.437801,2016-10-09 11:53:42,0,./find_avx2_nozero,"['30000', 'in']"
find_avx2_nozero,75719479801,29,2,312,195854845300,2.58658,307417437510,1.56962,62921655845,275796831,0.438318,2016-10-09 11:55:11,0,./find_avx2_nozero,"['30000', 'in']"
find_avx2_nozero,77518456224,30,2,312,200264734694,2.58345,307422217208,1.53508,62922588784,269116508,0.427695,2016-10-09 11:56:41,0,./find_avx2_nozero,"['30000', 'in']"
find_find,69361124523,55,4,312,179726600264,2.59117,467367723880,2.60044,127142029845,967937503,0.761304,2016-10-09 11:58:04,0,./find_find,"['30000', 'in']"
find_find,69386223442,143,8,312,179844230455,2.59193,467377425268,2.59879,127143781895,975373835,0.767142,2016-10-09 11:59:26,0,./find_find,"['30000', 'in']"
find_find,69232239733,59,4,311,179466338193,2.59224,467367246710,2.60421,127141986673,972530383,0.764917,2016-10-09 12:00:48,0,./find_find,"['30000', 'in']"
find_find,70070726857,28,4,312,180016603129,2.56907,467370719552,2.59626,127142528463,973150257,0.765401,2016-10-09 12:02:12,0,./find_find,"['30000', 'in']"
find_find,69358296656,58,3,312,179715404615,2.59112,467368001622,2.6006,127142052498,960200652,0.755219,2016-10-09 12:03:34,0,./find_find,"['30000', 'in']"
find_find,69328776564,58,1,311,179562978633,2.59002,467367812593,2.60281,127142033159,962527772,0.757049,2016-10-09 12:04:56,0,./find_find,"['30000', 'in']"
find_find,69389406264,115,7,312,179851678027,2.59192,467374166378,2.59866,127143237591,973786096,0.765897,2016-10-09 12:06:19,0,./find_find,"['30000', 'in']"
find_find,69353631072,397,15,312,179595583019,2.58956,467370588751,2.60235,127142508623,966399532,0.760092,2016-10-09 12:07:41,0,./find_find,"['30000', 'in']"
find_find,69417500526,64,6,312,179414754108,2.58458,467368110399,2.60496,127142117329,959678947,0.754808,2016-10-09 12:09:04,0,./find_find,"['30000', 'in']"
find_find,69330910701,60,1,311,179658982454,2.59133,467367689535,2.60142,127142039600,969765951,0.762742,2016-10-09 12:10:26,0,./find_find,"['30000', 'in']"
find_memchr,50771555863,26,7,311,131634899285,2.59269,327104051378,2.48493,67956523881,589102231,0.866881,2016-10-09 12:11:30,0,./find_memchr,"['30000', 'in']"
find_memchr,50893276769,56,3,312,131829557480,2.59031,327074291051,2.48104,67957583447,584315850,0.859824,2016-10-09 12:12:34,0,./find_memchr,"['30000', 'in']"
